Pair,Stock1,Stock2,Alpha,Beta,Entry Threshold,Exit Threshold,Window Length,Sharpe,Sortino,CAGR,Total Return,Max Drawdown,Win Rate,Average Trade Return,Trade Count
FAST-MSCI,FAST,MSCI,6.495686976760948,0.03552315523801286,2.5,0.5,60,1.1909022022192397,0.7022340067853462,0.19187891396272394,0.8549193015299781,-0.13429784583018028,0.8461538461538461,0.05096859688409881,13
CMG-MSCI,CMG,MSCI,0.6772656386393514,0.06325574839728461,2.5,0.5,60,1.1752556138270163,0.68927186523501,0.18919185902569646,0.8402415824046336,-0.13494063622894378,0.7692307692307693,0.05036976708014641,13
GOOG-GOOGL,GOOG,GOOGL,-1.1250098107603765,1.0162769387753183,2.5,0.5,60,1.1660143701085022,0.8486571108618988,0.013383329259616383,0.04790690797731534,-0.0074836630055332,0.9285714285714286,0.003359057226978191,14
EFX-MSCI,EFX,MSCI,54.68562951691701,0.327417580724158,2.5,0.5,60,1.1569020550557816,0.737341627135111,0.1340533115192135,0.5570449355557023,-0.15667282137812633,0.8333333333333334,0.03883789453303894,12
AZO-ELV,AZO,ELV,-398.30009278239385,5.5750443817176585,2.5,0.5,60,1.1499293851960253,1.1448016985202993,0.7208429536303858,5.757277245099886,-0.4114386073198412,0.9230769230769231,0.20357307405664243,13
AZO-WRB,AZO,WRB,-432.89775406162033,63.977907719697264,2.5,0.5,60,1.1442158764549282,1.0723655849562255,,-1.0000000024813316,-17.293308146295534,0.8461538461538461,2.25818621157138,13
IDXX-NKE,IDXX,NKE,-130.0880506713789,5.052584646456241,2.5,0.5,60,1.1324070472712078,1.039108073264213,0.8108437991227415,7.08537472118522,-0.5851991561133444,0.8461538461538461,0.2492802815671275,13
CRL-TGT,CRL,TGT,7.476111550348395,1.6709707904260476,2.5,0.5,60,1.1256323889620363,0.886856746116216,0.41281667867356475,2.375034677238868,-0.309500116720062,0.8,0.14381734362453685,10
MSFT-RMD,MSFT,RMD,-24.033120368986925,1.2698877248472111,2.5,0.5,60,1.1011335933567585,0.9207613970870221,0.20844245477972967,0.9472529848878488,-0.16662889955986981,0.75,0.06072874690160624,12
AON-PAYX,AON,PAYX,13.866283397855575,2.5002382056523778,2.5,0.5,60,1.0874345221075765,0.7222608430742323,0.22701731258030167,1.054661707313914,-0.181353578580197,0.7777777777777778,0.08853881510835974,9
MCO-POOL,MCO,POOL,86.41782259586296,0.5840734823458446,2.5,0.5,60,1.0802861198550122,0.8275318148581663,0.1624505341985698,0.6986652313623907,-0.17702529970332023,0.875,0.07101189805326578,8
CPRT-MSCI,CPRT,MSCI,6.460224232312086,0.05286235037427019,2.5,0.5,60,1.0636841881820063,0.618410608358095,0.166367966619128,0.7189001337631933,-0.1352679558466731,0.8333333333333334,0.048791596428887196,12
EFX-KKR,EFX,KKR,49.246703567201514,3.030610529796949,2.5,0.5,60,1.0553356569839116,1.1238604910369754,0.47741028155091336,2.9501812841108475,-0.5063572147849846,0.7272727272727273,0.157929591506812,11
DOV-ORCL,DOV,ORCL,-7.613699210556282,1.9737730251184025,2.5,0.5,60,1.0349544708467613,0.763608985841115,0.2958213457112695,1.4896654482318619,-0.2943095809288195,0.9166666666666666,0.08847175032073729,12
CDW-J,CDW,J,-9.277394824747448,1.683126429794475,2.5,0.5,60,1.0340534496448646,1.104487673156605,0.24415515683784217,1.1574628955694308,-0.19344006048855397,0.9,0.086257472128031,10
MA-V,MA,V,-50.49185436406332,1.8763817881672036,2.5,0.5,60,1.0122967965811502,0.9824015323663664,0.1187892720426631,0.48452068943278737,-0.12179745660330282,0.8181818181818182,0.03812142516359386,11
AEP-ETR,AEP,ETR,9.933821282213222,1.4318227305959896,2.5,0.5,60,1.001319404700219,0.9274608033779936,0.12857214919896442,0.530716975945454,-0.16972002246865217,1.0,0.037892676738401826,12
AVY-EXPD,AVY,EXPD,-28.902683050911044,1.9273839646950743,2.5,0.5,60,0.9998003530143234,0.6671286730739044,0.18494944203011654,0.817237418855945,-0.21442209673998905,0.7777777777777778,0.07320467102853459,9
BA-NCLH,BA,NCLH,93.3955945461513,4.753302628909019,2.5,0.5,60,0.9946705683883668,0.9402526280471161,0.6242173498175458,4.513583496920859,-0.6871870196831366,0.8,0.2583928541856779,10
DOV-MSCI,DOV,MSCI,43.23350080414408,0.19589016067737722,2.5,0.5,60,0.9819784143371317,0.49942495353225325,0.14203005941278035,0.5959370920779712,-0.1365785157851664,0.7272727272727273,0.046024998138068644,11
NXPI-TXN,NXPI,TXN,-25.227744212064383,1.256639580031366,2.5,0.5,60,0.9674208347399752,1.1081792230702594,0.22031875813533053,1.0154510029625046,-0.20688089467340523,0.8333333333333334,0.06557832302179208,12
EFX-MCO,EFX,MCO,-4.137654945012386,0.6808395119457176,2.5,0.5,60,0.9612537282606446,0.8494065669651989,0.11409983278644464,0.46273419960111717,-0.14003163448451003,0.7692307692307693,0.03118885349153871,13
